State,Index
Mississippi,83.1
Oklahoma,84.8
Kansas,85.4
Alabama,87.5
Iowa,88.1
Georgia,88.2
Indiana,89.2
Tennessee,89.4
Arkansas,89.9
Michigan,89.9
West Virginia,90.5
Missouri,90.5
Ohio,90.8
Illinois,91.7
Nebraska,91.8
Texas,92.1
Louisiana,93.3
Kentucky,93.6
New Mexico,93.9
South Carolina,93.9
Wyoming,93.9
North Carolina,95
South Dakota,95.2
Wisconsin,95.5
North Dakota,96.8
Minnesota,97.2
Pennsylvania,97.5
Idaho,99.4
Colorado,102.4
Florida,102.6
Virginia,102.7
Nevada,103.1
Utah,104.2
Montana,104.4
Delaware,105.8
Arizona,106.7
Rhode Island,112.8
New Jersey,112.9
Washington,113.9
Maine,115.1
Vermont,116.9
New Hampshire,117.4
Connecticut,118.9
Oregon,125.2
Maryland,126.4
Alaska,127.3
Massachusetts,130.2
California,139.7
New York,152.1
District of Columbia,158.8
Hawaii,192.7
