Job.Title,Company.Name,City,State,Size,MinSalary,MaxSalary,python,hadoop,mongo,spark,sql,tableau,kafka,excel,azure,pandas,visualization,machinelearning,aws,saas,etl,warehouse
Data Analyst,"Vera Institute of Justice
3.2",New York, NY,201 to 500 employees,37000,66000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Data Analyst,"Visiting Nurse Service of New York
3.8",New York, NY,10000+ employees,37000,66000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Senior Data Analyst,"Squarespace
3.4",New York, NY,1001 to 5000 employees,37000,66000,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Celerity
4.1",New York, NY,201 to 500 employees,37000,66000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Data Analyst,"FanDuel
3.9",New York, NY,501 to 1000 employees,37000,66000,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Point72
3.9",New York, NY,1001 to 5000 employees,37000,66000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Two Sigma
4.4",New York, NY,1001 to 5000 employees,37000,66000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"DMGT
4.0",New York, NY,5001 to 10000 employees,37000,66000,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Riskified
4.4",New York, NY,501 to 1000 employees,37000,66000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"NYU Langone Health
4.0",New York, NY,10000+ employees,37000,66000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Analyst,BulbHead,Fairfield, NJ,1 to 50 employees,37000,66000,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Montefiore Medical
3.7",New York, NY,10000+ employees,37000,66000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Analyst,"Known
3.0",New York, NY,201 to 500 employees,37000,66000,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Data Analyst,"Advisor Group
3.4",Jersey City, NJ,1001 to 5000 employees,37000,66000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"CodeGreen Solutions
3.6",New York, NY,1 to 50 employees,37000,66000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Undertone
3.8",New York, NY,201 to 500 employees,37000,66000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Data Analyst,"NYSTEC
3.8",New York, NY,51 to 200 employees,37000,66000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Data Analyst,"Teachers Pay Teachers
4.9",New York, NY,51 to 200 employees,37000,66000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Macquarie Group
3.3",New York, NY,10000+ employees,37000,66000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Andiamo
3.5",New York, NY,201 to 500 employees,37000,66000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Analyst,"Dash Technologies Inc
3.8",New York, NY,1 to 50 employees,37000,66000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
Data Analyst,"Hearst Communications
4.0",New York, NY,1 to 50 employees,37000,66000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Ro
4.8",New York, NY,51 to 200 employees,37000,66000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Data Analyst,"Endai
3.7",New York, NY,1 to 50 employees,37000,66000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Analyst,"BlueLabs
4.7",New York, NY,1 to 50 employees,37000,66000,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Data Analyst,"Revel
3.6",Brooklyn, NY,51 to 200 employees,46000,87000,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
Data Analyst,"NALLAS CORPORATION
3.6",Jersey City, NJ,1 to 50 employees,46000,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Pozent
3.5",New York, NY,1 to 50 employees,46000,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Carry1st,New York, NY,-1,46000,87000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Data Analyst,"Bank of America
3.7",New York, NY,10000+ employees,46000,87000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Nutech Information Systems
3.6",New York, NY,1 to 50 employees,46000,87000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"The Trevor Project
4.6",New York, NY,51 to 200 employees,46000,87000,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1
Data Analyst,AB InBev,New York, NY,1001 to 5000 employees,46000,87000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Whip Media Group
5.0",New York, NY,51 to 200 employees,46000,87000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Two95 International Inc.
4.0",New York, NY,1 to 50 employees,46000,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Vettery
3.0",New York, NY,201 to 500 employees,46000,87000,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Data Analyst,"Nesco Resource, LLC
2.9",New York, NY,1001 to 5000 employees,46000,87000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Hearst Communications
4.0",New York, NY,1 to 50 employees,46000,87000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Analyst,"MediaMath
3.6",New York, NY,501 to 1000 employees,46000,87000,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Senior Data Scientist,"Roku
3.9",New York, NY,1001 to 5000 employees,46000,87000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Senior Data Analyst,"Walt Disney Co.
4.0",New York, NY,10000+ employees,46000,87000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Analyst,"Xoriant Corporation
3.7",Jersey City, NJ,1001 to 5000 employees,46000,87000,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Senior Data Analyst,"Gemini
3.6",New York, NY,51 to 200 employees,46000,87000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Scientist,"TSR, Inc.
3.6",Weehawken, NJ,201 to 500 employees,46000,87000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Data Analyst,"Walt Disney Co.
4.0",New York, NY,10000+ employees,46000,87000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Analyst,"Fragomen Worldwide
3.2",New York, NY,1001 to 5000 employees,46000,87000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Bloomberg
3.8",New York, NY,10000+ employees,46000,87000,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Data Analyst,"Real Capital Analytics
3.9",New York, NY,51 to 200 employees,46000,87000,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Data Analyst,"Ro
4.8",New York, NY,51 to 200 employees,51000,88000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Perficient
3.6",New York, NY,1001 to 5000 employees,51000,88000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Perficient
3.6",New York, NY,1001 to 5000 employees,51000,88000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Data Analyst,"Perficient
3.6",New York, NY,1001 to 5000 employees,51000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Kforce
4.1",New York, NY,10000+ employees,51000,88000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Data Analyst,"Criteo
3.9",New York, NY,1001 to 5000 employees,51000,88000,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Data Analyst,"Royal Communications
3.0",New York, NY,1 to 50 employees,51000,88000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Neuberger Berman
3.7",New York, NY,1001 to 5000 employees,51000,88000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Data Analyst,"eTeam Inc.
3.7",New York, NY,51 to 200 employees,51000,88000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Analyst,impakt Advisors,New York, NY,1 to 50 employees,51000,88000,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Current
3.6",New York, NY,201 to 500 employees,51000,88000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Axelon Services Corporation
3.6",New York, NY,501 to 1000 employees,51000,88000,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Data Analyst,"Discovery Communications, Inc.
3.5",New York, NY,10000+ employees,51000,88000,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
Data Analyst,"Randstad
3.7",Jersey City, NJ,1001 to 5000 employees,51000,88000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Mulberry Technology
5.0",New York, NY,1 to 50 employees,51000,88000,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
Data Analyst,"Two95 International Inc.
4.0",New York, NY,1 to 50 employees,51000,88000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"SoftStandard Solutions
4.8",New York, NY,51 to 200 employees,51000,88000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"EDO, Inc.
5.0",New York, NY,1 to 50 employees,51000,88000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,"Guidepoint
3.3",New York, NY,501 to 1000 employees,51000,88000,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Mitchell Martin
4.1",New York, NY,501 to 1000 employees,51000,88000,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Data Analyst,"Lorven Technologies Inc
4.0",New York, NY,1 to 50 employees,51000,88000,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
