Job.Title,Company.Name,City,State,Size,MinSalary,MaxSalary,python,hadoop,mongo,spark,sql,tableau,kafka,excel,azure,pandas,visualization,machinelearning,aws,saas,etl,warehouse
Data Engineer,"Sagence
4.5",New York, NY,1 to 50 employees,80000,150000,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1
Senior Data Engineer,"Enterprise Integration
3.4",New York, NY,51 to 200 employees,80000,150000,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
Data Engineer,"Maestro Technologies
5.0",New York, NY,51 to 200 employees,80000,150000,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
Data Engineer,"GNY Insurance Companies
3.7",New York, NY,201 to 500 employees,80000,150000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
Senior Data Engineer,"Affinity Solutions
3.0",New York, NY,51 to 200 employees,80000,150000,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
Data Engineer,"NJF Global Holdings
4.2",New York, NY,51 to 200 employees,80000,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Data Engineer,"Conductor
4.4",New York, NY,201 to 500 employees,80000,150000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Data Engineer,"Twitter
4.0",New York, NY,1001 to 5000 employees,80000,150000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Engineer,"Citadel
3.8",New York, NY,1001 to 5000 employees,80000,150000,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
Data Engineer,"PulsePoint
4.4",New York, NY,51 to 200 employees,80000,150000,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Data Scientist,"PA Consulting
3.3",New York, NY,1001 to 5000 employees,80000,150000,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
Senior Data Engineer,"Aetna
3.3",New York, NY,10000+ employees,80000,150000,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Data Engineer,"Colgate-Palmolive
4.1",New York, NY,10000+ employees,80000,150000,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
Data Engineer,"PepsiCo
3.7",New York, NY,10000+ employees,80000,150000,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1
Data Engineer,"Spotify
3.8",New York, NY,1001 to 5000 employees,80000,150000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"Freestar
4.9",New York, NY,1 to 50 employees,80000,150000,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Data Scientist,"Medidata Solutions
4.3",New York, NY,1001 to 5000 employees,80000,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"Cockroach Labs
4.7",New York, NY,51 to 200 employees,80000,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Data Engineer,"DoubleVerify
3.6",New York, NY,201 to 500 employees,80000,150000,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Data Engineer,"FourSquare
2.5",New York, NY,201 to 500 employees,80000,150000,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Data Engineer,"Maestro Technologies
5.0",New York, NY,51 to 200 employees,73000,94000,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
Data Engineer,"GNY Insurance Companies
3.7",New York, NY,201 to 500 employees,73000,94000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
Data Engineer,"Daily Harvest
3.5",New York, NY,51 to 200 employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Data Engineer,"Healthfirst
3.1",New York, NY,1001 to 5000 employees,73000,94000,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Data Engineer,"Point72
3.9",New York, NY,1001 to 5000 employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"New York Times
3.8",New York, NY,1001 to 5000 employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Data Engineer,"SADA
4.7",New York, NY,51 to 200 employees,73000,94000,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1
Data Engineer,"Larsen & Toubro Infotech Limited
3.5",New York, NY,10000+ employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"Peloton Interactive, Inc.
3.8",New York, NY,1001 to 5000 employees,73000,94000,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
Data Engineer,Aptino,New York, NY,51 to 200 employees,73000,94000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Data Engineer,"Columbia University
3.9",New York, NY,10000+ employees,73000,94000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Data Engineer,"Bark & Co
2.7",New York, NY,201 to 500 employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Data Engineer,"AVANADE
3.9",New York, NY,10000+ employees,73000,94000,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Data Engineer,"New York Times
3.8",New York, NY,1001 to 5000 employees,73000,94000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
Data Engineer,"Apple
4.1",New York, NY,10000+ employees,73000,94000,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1
Data Engineer,"Glossier
3.1",New York, NY,201 to 500 employees,73000,94000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Data Engineer,"Point72
3.9",New York, NY,1001 to 5000 employees,73000,94000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Data Engineer,"CommonBond
3.8",New York, NY,51 to 200 employees,73000,94000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
