Job.Title,Company.Name,City,State,Size,MinSalary,MaxSalary,python,hadoop,mongo,spark,sql,tableau,kafka,excel,azure,pandas,visualization,machinelearning,aws,saas,etl,warehouse
Senior Data Scientist,"Hopper
3.5",New York, NY,501 to 1000 employees,111000,181000,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
Data Scientist,"Noom US
4.5",New York, NY,1001 to 5000 employees,111000,181000,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Data Analyst,"Sapphire Digital
3.4",Lyndhurst, NJ,201 to 500 employees,111000,181000,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Data Scientist,"IFG Companies
2.9",New York, NY,201 to 500 employees,111000,181000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Data Scientist,"Quartet Health
3.9",New York, NY,201 to 500 employees,111000,181000,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Data Scientist,"PulsePoint
4.4",New York, NY,51 to 200 employees,111000,181000,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Data Scientist,"Medidata Solutions
4.3",New York, NY,1001 to 5000 employees,111000,181000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Data Scientist,"Point72
3.9",New York, NY,1001 to 5000 employees,111000,181000,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Data Scientist,"Two Sigma
4.4",New York, NY,1001 to 5000 employees,111000,181000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Data Scientist,"Affinity Solutions
3.0",New York, NY,51 to 200 employees,111000,181000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Data Scientist,"Etsy
3.6",Brooklyn, NY,501 to 1000 employees,111000,181000,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,"PA Consulting
3.3",New York, NY,1001 to 5000 employees,111000,181000,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
Data Scientist,"Etsy
3.6",New York, NY,501 to 1000 employees,111000,181000,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,"Walt Disney Co.
4.0",New York, NY,10000+ employees,111000,181000,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
Senior Data Scientist,"Squarespace
3.4",New York, NY,1001 to 5000 employees,111000,181000,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
